date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:50	0/0	---M--	302	error ('Found')	text/html		http://s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl.html?lang=pl&3.0.1.3.0_16070546&svcs=abs,mail,calendar,c11n	/home/kacper/websites/phish/s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl.083d1.delayed	(from )
18:30:51	9503/9503	---M--	200	added ('OK')	text/html	etag:W/%229503-1482400262000%22	https://s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl.html?lang=pl&3.0.1.3.0_16070546&svcs=abs,mail,calendar,c11n	/home/kacper/websites/phish/s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl83d1.html	(from )
18:30:52	1781/1781	---M--	500	error ('Internal%20Server%20Error')	text/html		https://s.student.pwr.edu.pl/robots.txt		(from )
18:30:53	2154/2154	---MC-	200	added ('OK')	text/css	date:Sat,%2004%20Nov%202017%2017:30:53%20GMT	https://fonts.googleapis.com/css?family=Roboto+Slab:400,100,300,700|Lato:400,100,300,700,900	/home/kacper/websites/phish/fonts.googleapis.com/css7719.css	(from https://s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl.html?lang=pl&3.0.1.3.0_16070546&svcs=abs,mail,calendar,c11n)
18:30:55	70829/70829	---M--	200	added ('OK')	text/css	etag:W/%2270829-1482400777000%22	https://s.student.pwr.edu.pl/iwc_static/c11n/css/login_animate.css	/home/kacper/websites/phish/s.student.pwr.edu.pl/iwc_static/c11n/css/login_animate.css	(from https://s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl.html?lang=pl&3.0.1.3.0_16070546&svcs=abs,mail,calendar,c11n)
18:30:56	3395/3395	---M--	200	added ('OK')	text/css	etag:W/%223395-1493108597000%22	https://s.student.pwr.edu.pl/iwc_static/c11n/css/login_student_pwr_edu_pl.css	/home/kacper/websites/phish/s.student.pwr.edu.pl/iwc_static/c11n/css/login_student_pwr_edu_pl.css	(from https://s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl.html?lang=pl&3.0.1.3.0_16070546&svcs=abs,mail,calendar,c11n)
18:30:57	68954/68954	---M--	200	added ('OK')	text/javascript	etag:W/%2268954-1482399743000%22	https://s.student.pwr.edu.pl/iwc_static/c11n/js/bootstrap.js	/home/kacper/websites/phish/s.student.pwr.edu.pl/iwc_static/c11n/js/bootstrap.js	(from https://s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl.html?lang=pl&3.0.1.3.0_16070546&svcs=abs,mail,calendar,c11n)
18:30:57	84380/84380	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	/home/kacper/websites/phish/ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	(from https://s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl.html?lang=pl&3.0.1.3.0_16070546&svcs=abs,mail,calendar,c11n)
18:30:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Nov%202017%2017:30:58%20GMT	https://s.student.pwr.edu.pl/iwc_static/c11n/faq	/home/kacper/websites/phish/s.student.pwr.edu.pl/iwc_static/c11n/faq	(from https://s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl.html?lang=pl&3.0.1.3.0_16070546&svcs=abs,mail,calendar,c11n)
18:30:58	0/0	---M--	302	error ('Found')	text/html		http://s.student.pwr.edu.pl/iwc_static/c11n/faq/	/home/kacper/websites/phish/s.student.pwr.edu.pl/iwc_static/c11n/faq/index.html	(from https://s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl.html?lang=pl&3.0.1.3.0_16070546&svcs=abs,mail,calendar,c11n)
18:30:59	1781/1781	---M--	500	error ('Internal%20Server%20Error')	text/html		https://s.student.pwr.edu.pl/iwc_static/c11n/noscript.html%20frameborder=0%20width=100%	/home/kacper/websites/phish/s.student.pwr.edu.pl/iwc_static/c11n/noscript.html%20frameborder=0%20width=100%	(from https://s.student.pwr.edu.pl/iwc_static/c11n/login_student_pwr_edu_pl.html?lang=pl&3.0.1.3.0_16070546&svcs=abs,mail,calendar,c11n)
